Input,Match type,Approved symbol,Approved name,HGNC ID,Location
BRMS1,Previous symbol,BRMS1L,BRMS1 like transcriptional repressor,HGNC:20512,14q13.2
BRP44L,Previous symbol,MPC1,mitochondrial pyruvate carrier 1,HGNC:21606,6q27
BRP44,Previous symbol,MPC2,mitochondrial pyruvate carrier 2,HGNC:24515,1q24.2
BRPF1,Approved symbol,BRPF1,bromodomain and PHD finger containing 1,HGNC:14255,3p25.3
BRPF3,Approved symbol,BRPF3,bromodomain and PHD finger containing 3,HGNC:14256,6p21.31
BRS3,Approved symbol,BRS3,bombesin receptor subtype 3,HGNC:1113,Xq26.3
BRSK1,Approved symbol,BRSK1,BR serine/threonine kinase 1,HGNC:18994,19q13.42
BRSK2,Approved symbol,BRSK2,BR serine/threonine kinase 2,HGNC:11405,11p15.5
BRWD1,Approved symbol,BRWD1,bromodomain and WD repeat domain containing 1,HGNC:12760,21q22.2
BRWD3,Approved symbol,BRWD3,bromodomain and WD repeat domain containing 3,HGNC:17342,Xq21.1
BSCL2,Approved symbol,BSCL2,"BSCL2, seipin lipid droplet biogenesis associated",HGNC:15832,11q12.3
BSDC1,Approved symbol,BSDC1,BSD domain containing 1,HGNC:25501,1p35.1
BSG,Approved symbol,BSG,basigin (Ok blood group),HGNC:1116,19p13.3
BSND,Approved symbol,BSND,barttin CLCNK type accessory beta subunit,HGNC:16512,1p32.3
BSN,Approved symbol,BSN,bassoon presynaptic cytomatrix protein,HGNC:1117,3p21.31
BSPH1,Approved symbol,BSPH1,binder of sperm protein homolog 1,HGNC:33906,19q13.33
BSPRY,Approved symbol,BSPRY,B-box and SPRY domain containing,HGNC:18232,9q32
BST1,Approved symbol,BST1,bone marrow stromal cell antigen 1,HGNC:1118,4p15.32
BST1,Synonyms,PGAP1,post-GPI attachment to proteins 1,HGNC:25712,2q33.1
BST2,Approved symbol,BST2,bone marrow stromal cell antigen 2,HGNC:1119,19p13.11
BSX,Approved symbol,BSX,brain specific homeobox,HGNC:20450,11q24.1
BTAF1,Approved symbol,BTAF1,B-TFIID TATA-box binding protein associated factor 1,HGNC:17307,10q23.32
BTBD10,Approved symbol,BTBD10,BTB domain containing 10,HGNC:21445,11p15.3
BTBD11,Approved symbol,BTBD11,BTB domain containing 11,HGNC:23844,12q23.3
BTBD12,Previous symbol,SLX4,SLX4 structure-specific endonuclease subunit,HGNC:23845,16p13.3
BTBD16,Approved symbol,BTBD16,BTB domain containing 16,HGNC:26340,10q26.13
BTBD17,Approved symbol,BTBD17,BTB domain containing 17,HGNC:33758,17q25.1
BTBD18,Approved symbol,BTBD18,BTB domain containing 18,HGNC:37214,11q12.1
BTBD19,Approved symbol,BTBD19,BTB domain containing 19,HGNC:27145,1p34.1
BTBD1,Approved symbol,BTBD1,BTB domain containing 1,HGNC:1120,15q25.2
BTBD2,Approved symbol,BTBD2,BTB domain containing 2,HGNC:15504,19p13.3
BTBD3,Approved symbol,BTBD3,BTB domain containing 3,HGNC:15854,20p12.2
BTBD6,Approved symbol,BTBD6,BTB domain containing 6,HGNC:19897,14q32.33
BTBD7,Approved symbol,BTBD7,BTB domain containing 7,HGNC:18269,14q32.12
BTBD8,Approved symbol,BTBD8,BTB domain containing 8,HGNC:21019,1p22.1
BTBD9,Approved symbol,BTBD9,BTB domain containing 9,HGNC:21228,6p21.2
BTC,Approved symbol,BTC,betacellulin,HGNC:1121,4q13.3
BTD,Approved symbol,BTD,biotinidase,HGNC:1122,3p25.1
BTF3L1,Previous symbol,BTF3P11,basic transcription factor 3 pseudogene 11,HGNC:1126,13q22.3
BTF3L4,Approved symbol,BTF3L4,basic transcription factor 3 like 4,HGNC:30547,1p32.3
BTF3,Approved symbol,BTF3,basic transcription factor 3,HGNC:1125,5q13.2
BTF3,Synonyms,BTN3A3,butyrophilin subfamily 3 member A3,HGNC:1140,6p22.2
BTG1,Approved symbol,BTG1,BTG anti-proliferation factor 1,HGNC:1130,12q21.33
BTG2,Approved symbol,BTG2,BTG anti-proliferation factor 2,HGNC:1131,1q32.1
BTG3,Approved symbol,BTG3,BTG anti-proliferation factor 3,HGNC:1132,21q21.1
BTG4,Approved symbol,BTG4,BTG anti-proliferation factor 4,HGNC:13862,11q23.1
BTK,Approved symbol,BTK,Bruton tyrosine kinase,HGNC:1133,Xq22.1
BTLA,Approved symbol,BTLA,B and T lymphocyte associated,HGNC:21087,3q13.2
BTN1A1,Approved symbol,BTN1A1,butyrophilin subfamily 1 member A1,HGNC:1135,6p22.2
BTN2A1,Approved symbol,BTN2A1,butyrophilin subfamily 2 member A1,HGNC:1136,6p22.2
BTN2A2,Approved symbol,BTN2A2,butyrophilin subfamily 2 member A2,HGNC:1137,6p22.2
BTN2A3,Previous symbol,BTN2A3P,"butyrophilin subfamily 2 member A3, pseudogene",HGNC:13229,6p22.2
BTN3A1,Approved symbol,BTN3A1,butyrophilin subfamily 3 member A1,HGNC:1138,6p22.2
BTN3A2,Approved symbol,BTN3A2,butyrophilin subfamily 3 member A2,HGNC:1139,6p22.2
BTN3A3,Approved symbol,BTN3A3,butyrophilin subfamily 3 member A3,HGNC:1140,6p22.2
BTNL2,Approved symbol,BTNL2,butyrophilin like 2,HGNC:1142,6p21.32
BTNL3,Approved symbol,BTNL3,butyrophilin like 3,HGNC:1143,5q35.3
BTNL8,Approved symbol,BTNL8,butyrophilin like 8,HGNC:26131,5q35.3
BTNL9,Approved symbol,BTNL9,butyrophilin like 9,HGNC:24176,5q35.3
BTRC,Approved symbol,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,HGNC:1144,10q24.32
BUB1B,Approved symbol,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,HGNC:1149,15q15.1
BUB1,Approved symbol,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,HGNC:1148,2q13
BUB3,Approved symbol,BUB3,"BUB3, mitotic checkpoint protein",HGNC:1151,10q26.13
BUD13,Approved symbol,BUD13,BUD13 homolog,HGNC:28199,11q23.3
BUD31,Approved symbol,BUD31,BUD31 homolog,HGNC:29629,7q22.1
BVES,Approved symbol,BVES,blood vessel epicardial substance,HGNC:1152,6q21
BYSL,Approved symbol,BYSL,bystin like,HGNC:1157,6p21.1
BZRAP1,Previous symbol,TSPOAP1,TSPO associated protein 1,HGNC:16831,17q22
BZW1,Approved symbol,BZW1,basic leucine zipper and W2 domains 1,HGNC:18380,2q33.1
BZW2,Approved symbol,BZW2,basic leucine zipper and W2 domains 2,HGNC:18808,7p21.1
C10orf105,Approved symbol,C10orf105,chromosome 10 open reading frame 105,HGNC:20304,10q22.1
C10orf107,Previous symbol,CABCOCO1,ciliary associated calcium binding coiled-coil 1,HGNC:28678,10q21.2
C10orf108,Previous symbol,PRR26,proline rich 26,HGNC:30724,10p15.3
C10orf10,Previous symbol,DEPP1,"DEPP1, autophagy regulator",HGNC:23355,10q11.21
C10orf110,Previous symbol,IDI2-AS1,IDI2 antisense RNA 1,HGNC:30885,10p15.3
C10orf111,Approved symbol,C10orf111,chromosome 10 open reading frame 111,HGNC:28582,10p13
C10orf113,Approved symbol,C10orf113,chromosome 10 open reading frame 113,HGNC:31447,10p12.31
C10orf114,Previous symbol,CASC10,cancer susceptibility 10,HGNC:31448,10p12.31
C10orf116,Previous symbol,ADIRF,adipogenesis regulatory factor,HGNC:24043,10q23.2
C10orf118,Previous symbol,CCDC186,coiled-coil domain containing 186,HGNC:24349,10q25.3
C10orf119,Previous symbol,MCMBP,minichromosome maintenance complex binding protein,HGNC:25782,10q26.11
C10orf11,Previous symbol,LRMDA,leucine rich melanocyte differentiation associated,HGNC:23405,10q22.2-q22.3
C10orf120,Approved symbol,C10orf120,chromosome 10 open reading frame 120,HGNC:25707,10q26.13
C10orf122,Previous symbol,TEX36,testis expressed 36,HGNC:31653,10q26.13
C10orf125,Previous symbol,FUOM,fucose mutarotase,HGNC:24733,10q26.3
C10orf128,Previous symbol,TMEM273,transmembrane protein 273,HGNC:27274,10q11.23
C10orf129,Previous symbol,ACSM6,acyl-CoA synthetase medium chain family member 6,HGNC:31665,10q23.33
C10orf12,Previous symbol,LCOR,ligand dependent nuclear receptor corepressor,HGNC:29503,10q24.1
C10orf131,Previous symbol,CC2D2B,coiled-coil and C2 domain containing 2B,HGNC:31666,10q24.1
C10orf137,Previous symbol,EDRF1,erythroid differentiation regulatory factor 1,HGNC:24640,10q26.2
C10orf140,Previous symbol,SKIDA1,SKI/DACH domain containing 1,HGNC:32697,10p12.31
C10orf18,Previous symbol,FAM208B,family with sequence similarity 208 member B,HGNC:23484,10p15.1
C10orf25,Approved symbol,C10orf25,chromosome 10 open reading frame 25,HGNC:23509,10q11.21
C10orf26,Previous symbol,WBP1L,WW domain binding protein 1 like,HGNC:23510,10q24.32
C10orf27,Previous symbol,TBATA,"thymus, brain and testes associated",HGNC:23511,10q22.1
C10orf28,Previous symbol,R3HCC1L,R3H domain and coiled-coil containing 1 like,HGNC:23512,10q24.2
C10orf2,Previous symbol,TWNK,twinkle mtDNA helicase,HGNC:1160,10q24.31
C10orf32,Previous symbol,BORCS7,BLOC-1 related complex subunit 7,HGNC:23516,10q24.32
C10orf35,Previous symbol,FAM241B,family with sequence similarity 241 member B,HGNC:23519,10q22.1
C10orf40,Previous symbol,LINC01553,long intergenic non-protein coding RNA 1553,HGNC:23524,10q21.2
C10orf41,Previous symbol,ZNF503-AS2,ZNF503 antisense RNA 2,HGNC:23525,10q22.2
C10orf46,Previous symbol,CACUL1,CDK2 associated cullin domain 1,HGNC:23727,10q26.11
C10orf47,Previous symbol,PROSER2,proline and serine rich 2,HGNC:23728,10p14
C10orf4,Previous symbol,FRA10AC1,FRA10A associated CGG repeat 1,HGNC:1162,10q23.33
C10orf50,Previous symbol,FAM238A,family with sequence similarity 238 member A,HGNC:17776,10p12.1
C10orf53,Approved symbol,C10orf53,chromosome 10 open reading frame 53,HGNC:27421,10q11.23
C10orf54,Previous symbol,VSIR,V-set immunoregulatory receptor,HGNC:30085,10q22.1
C10orf55,Approved symbol,C10orf55,chromosome 10 open reading frame 55,HGNC:31008,10q22.2
C10orf57,Previous symbol,TMEM254,transmembrane protein 254,HGNC:25804,10q22.3
C10orf58,Previous symbol,PRXL2A,peroxiredoxin like 2A,HGNC:28651,10q23.1
C10orf62,Approved symbol,C10orf62,chromosome 10 open reading frame 62,HGNC:23294,10q24.2
C10orf67,Approved symbol,C10orf67,chromosome 10 open reading frame 67,HGNC:28716,10p12.2
C10orf68,Previous symbol,CCDC7,coiled-coil domain containing 7,HGNC:26533,10p11.22
C10orf71,Approved symbol,C10orf71,chromosome 10 open reading frame 71,HGNC:26973,10q11.23
C10orf72,Previous symbol,VSTM4,V-set and transmembrane domain containing 4,HGNC:26470,10q11.23
C10orf75,Previous symbol,OLMALINC,oligodendrocyte maturation-associated long intergenic non-coding RNA,HGNC:28060,10q24.31
C10orf76,Previous symbol,ARMH3,armadillo-like helical domain containing 3,HGNC:25788,10q24.32
C10orf78,Previous symbol,SFR1,SWI5 dependent homologous recombination repair protein 1,HGNC:29574,10q25.1
C10orf79,Previous symbol,CFAP43,cilia and flagella associated protein 43,HGNC:26684,10q25.1
C10orf81,Previous symbol,PLEKHS1,pleckstrin homology domain containing S1,HGNC:26285,10q25.3
C10orf82,Approved symbol,C10orf82,chromosome 10 open reading frame 82,HGNC:28500,10q25.3
C10orf84,Previous symbol,FAM204A,family with sequence similarity 204 member A,HGNC:25794,10q26.11
C10orf88,Approved symbol,C10orf88,chromosome 10 open reading frame 88,HGNC:25822,10q26.13
C10orf90,Approved symbol,C10orf90,chromosome 10 open reading frame 90,HGNC:26563,10q26.2
C10orf91,Approved symbol,C10orf91,chromosome 10 open reading frame 91 (putative),HGNC:27275,10q26.3
C10orf93,Previous symbol,CFAP46,cilia and flagella associated protein 46,HGNC:25247,10q26.3
C10orf95,Approved symbol,C10orf95,chromosome 10 open reading frame 95,HGNC:25880,10q24.32
C10orf96,Previous symbol,CCDC172,coiled-coil domain containing 172,HGNC:30524,10q25.3
C10orf99,Approved symbol,C10orf99,chromosome 10 open reading frame 99,HGNC:31428,10q23.1
C11orf10,Previous symbol,TMEM258,transmembrane protein 258,HGNC:1164,11q12.2
C11orf16,Approved symbol,C11orf16,chromosome 11 open reading frame 16,HGNC:1169,11p15.4
C11orf17,Previous symbol,AKIP1,A-kinase interacting protein 1,HGNC:1170,11p15.4
C11orf1,Approved symbol,C11orf1,chromosome 11 open reading frame 1,HGNC:1163,11q23.1
C11orf20,Previous symbol,CATSPERZ,catsper channel auxiliary subunit zeta,HGNC:19231,11q13.1
C11orf21,Approved symbol,C11orf21,chromosome 11 open reading frame 21,HGNC:13231,11p15.5
C11orf24,Approved symbol,C11orf24,chromosome 11 open reading frame 24,HGNC:1174,11q13.2
C11orf2,Previous symbol,VPS51,"VPS51, GARP complex subunit",HGNC:1172,11q13.1
C11orf2,Synonyms,IFT46,intraflagellar transport 46,HGNC:26146,11q23.3
C11orf30,Previous symbol,EMSY,"EMSY, BRCA2 interacting transcriptional repressor",HGNC:18071,11q13.5
C11orf31,Previous symbol,SELENOH,selenoprotein H,HGNC:18251,11q12.1
C11orf34,Previous symbol,PLET1,placenta expressed transcript 1,HGNC:30053,11q23.1
C11orf35,Previous symbol,LMNTD2,lamin tail domain containing 2,HGNC:28561,11p15.5
C11orf36,Previous symbol,MRGPRG-AS1,MRGPRG antisense RNA 1,HGNC:26691,11p15.4
C11orf40,Approved symbol,C11orf40,chromosome 11 open reading frame 40,HGNC:23986,11p15.4
C11orf41,Previous symbol,KIAA1549L,KIAA1549 like,HGNC:24836,11p13
C11orf42,Approved symbol,C11orf42,chromosome 11 open reading frame 42,HGNC:28541,11p15.4
C11orf45,Approved symbol,C11orf45,chromosome 11 open reading frame 45,HGNC:28584,11q24.3
C11orf46,Previous symbol,ARL14EP,ADP ribosylation factor like GTPase 14 effector protein,HGNC:26798,11p14.1
C11orf48,Previous symbol,C11orf98,chromosome 11 open reading frame 98,HGNC:51238,11q12.3
C11orf48,Previous symbol,LBHD1,LBH domain containing 1,HGNC:28351,11q12.3
C11orf49,Approved symbol,C11orf49,chromosome 11 open reading frame 49,HGNC:28720,11p11.2
C11orf51,Previous symbol,ANAPC15,anaphase promoting complex subunit 15,HGNC:24531,11q13.4
C11orf52,Approved symbol,C11orf52,chromosome 11 open reading frame 52,HGNC:30531,11q23.1
C11orf53,Approved symbol,C11orf53,chromosome 11 open reading frame 53,HGNC:30527,11q23.1
C11orf54,Approved symbol,C11orf54,chromosome 11 open reading frame 54,HGNC:30204,11q21
C11orf57,Previous symbol,NKAPD1,NKAP domain containing 1,HGNC:25569,11q23.1
C11orf58,Approved symbol,C11orf58,chromosome 11 open reading frame 58,HGNC:16990,11p15.2
C11orf59,Previous symbol,LAMTOR1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1",HGNC:26068,11q13.4
C11orf61,Previous symbol,MSANTD2,Myb/SANT DNA binding domain containing 2,HGNC:26266,11q24.2
C11orf63,Previous symbol,JHY,junctional cadherin complex regulator,HGNC:26288,11q24.1
C11orf64,Previous symbol,LINC00301,long intergenic non-protein coding RNA 301,HGNC:28603,11q12.2
C11orf65,Approved symbol,C11orf65,chromosome 11 open reading frame 65,HGNC:28519,11q22.3
C11orf66,Previous symbol,PPP1R32,protein phosphatase 1 regulatory subunit 32,HGNC:28869,11q12.2
C11orf67,Previous symbol,AAMDC,adipogenesis associated Mth938 domain containing,HGNC:30205,11q14.1
C11orf68,Approved symbol,C11orf68,chromosome 11 open reading frame 68,HGNC:28801,11q13.1
C11orf70,Previous symbol,CFAP300,cilia and flagella associated protein 300,HGNC:28188,11q22.1
C11orf71,Approved symbol,C11orf71,chromosome 11 open reading frame 71,HGNC:25937,11q23.2
C11orf73,Previous symbol,HIKESHI,"Hikeshi, heat shock protein nuclear import factor",HGNC:26938,11q14.2
C11orf74,Approved symbol,C11orf74,chromosome 11 open reading frame 74,HGNC:25142,11p12
C11orf75,Previous symbol,SMCO4,single-pass membrane protein with coiled-coil domains 4,HGNC:24810,11q21
C11orf80,Approved symbol,C11orf80,chromosome 11 open reading frame 80,HGNC:26197,11q13.2
C11orf82,Previous symbol,DDIAS,DNA damage induced apoptosis suppressor,HGNC:26351,11q14.1
C11orf83,Previous symbol,UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3,HGNC:34399,11q12.3
C11orf84,Previous symbol,SPINDOC,spindlin interactor and repressor of chromatin binding,HGNC:25115,11q13.1
C11orf85,Previous symbol,MAJIN,membrane anchored junction protein,HGNC:27441,11q13.1
C11orf86,Approved symbol,C11orf86,chromosome 11 open reading frame 86,HGNC:34442,11q13.2
C11orf87,Approved symbol,C11orf87,chromosome 11 open reading frame 87,HGNC:33788,11q22.3
C11orf88,Approved symbol,C11orf88,chromosome 11 open reading frame 88,HGNC:25061,11q23.1
C11orf90,Previous symbol,VSTM5,V-set and transmembrane domain containing 5,HGNC:34443,11q21
C11orf92,Previous symbol,COLCA1,colorectal cancer associated 1,HGNC:33789,11q23.1
C11orf93,Previous symbol,COLCA2,colorectal cancer associated 2,HGNC:26978,11q23.1
C11orf94,Approved symbol,C11orf94,chromosome 11 open reading frame 94,HGNC:37213,11p11.2
C11orf95,Approved symbol,C11orf95,chromosome 11 open reading frame 95,HGNC:28449,11q13.1
C11orf9,Previous symbol,MYRF,myelin regulatory factor,HGNC:1181,11q12.2
C12orf10,Approved symbol,C12orf10,chromosome 12 open reading frame 10,HGNC:17590,12q13.13
C12orf11,Previous symbol,INTS13,integrator complex subunit 13,HGNC:20174,12p11.23
C12orf12,Previous symbol,CCER1,coiled-coil glutamate rich protein 1,HGNC:28373,12q21.33
C12orf23,Previous symbol,TMEM263,transmembrane protein 263,HGNC:28281,12q23.3
C12orf24,Previous symbol,FAM216A,family with sequence similarity 216 member A,HGNC:30180,12q24.11
C12orf26,Previous symbol,METTL25,methyltransferase like 25,HGNC:26228,12q21.31
C12orf27,Previous symbol,HNF1A-AS1,HNF1A antisense RNA 1,HGNC:26785,12q24.31
C12orf29,Approved symbol,C12orf29,chromosome 12 open reading frame 29,HGNC:25322,12q21.32
C12orf32,Previous symbol,RHNO1,RAD9-HUS1-RAD1 interacting nuclear orphan 1,HGNC:28206,12p13.33
C12orf34,Previous symbol,FAM222A,family with sequence similarity 222 member A,HGNC:25915,12q24.11
C12orf35,Previous symbol,RESF1,retroelement silencing factor 1,HGNC:25559,12p11.21
C12orf36,Previous symbol,LINC01559,long intergenic non-protein coding RNA 1559,HGNC:26598,12p13.1
C12orf39,Previous symbol,SPX,spexin hormone,HGNC:28139,12p12.1
C12orf40,Approved symbol,C12orf40,chromosome 12 open reading frame 40,HGNC:26846,12q12
C12orf41,Previous symbol,KANSL2,KAT8 regulatory NSL complex subunit 2,HGNC:26024,12q13.11
C12orf42,Approved symbol,C12orf42,chromosome 12 open reading frame 42,HGNC:24729,12q23.2
C12orf43,Approved symbol,C12orf43,chromosome 12 open reading frame 43,HGNC:25719,12q24.31
C12orf44,Previous symbol,ATG101,autophagy related 101,HGNC:25679,12q13.13
C12orf45,Approved symbol,C12orf45,chromosome 12 open reading frame 45,HGNC:28628,12q23.3
C12orf47,Previous symbol,MAPKAPK5-AS1,MAPKAPK5 antisense RNA 1,HGNC:24091,12q24.12
C12orf48,Previous symbol,PARPBP,PARP1 binding protein,HGNC:26074,12q23.2
C12orf49,Approved symbol,C12orf49,chromosome 12 open reading frame 49,HGNC:26128,12q24.22
C12orf4,Approved symbol,C12orf4,chromosome 12 open reading frame 4,HGNC:1184,12p13.32
C12orf50,Approved symbol,C12orf50,chromosome 12 open reading frame 50,HGNC:26665,12q21.32
C12orf51,Previous symbol,HECTD4,HECT domain E3 ubiquitin protein ligase 4,HGNC:26611,12q24.13
C12orf52,Previous symbol,RITA1,RBPJ interacting and tubulin associated 1,HGNC:25925,12q24.13
C12orf53,Previous symbol,PIANP,PILR alpha associated neural protein,HGNC:25338,12p13.31
C12orf54,Approved symbol,C12orf54,chromosome 12 open reading frame 54,HGNC:28553,12q13.11
C12orf56,Approved symbol,C12orf56,chromosome 12 open reading frame 56,HGNC:26967,12q14.2
C12orf57,Approved symbol,C12orf57,chromosome 12 open reading frame 57,HGNC:29521,12p13.31
C12orf59,Previous symbol,TMEM52B,transmembrane protein 52B,HGNC:26438,12p13.2
C12orf5,Previous symbol,TIGAR,TP53 induced glycolysis regulatory phosphatase,HGNC:1185,12p13.32
C12orf60,Approved symbol,C12orf60,chromosome 12 open reading frame 60,HGNC:28726,12p12.3
C12orf61,Previous symbol,LINC01465,long intergenic non-protein coding RNA 1465,HGNC:26364,12q14.1
C12orf62,Previous symbol,COX14,cytochrome c oxidase assembly factor COX14,HGNC:28216,12q13.12
C12orf63,Previous symbol,CFAP54,cilia and flagella associated protein 54,HGNC:26456,12q23.1
C12orf65,Approved symbol,C12orf65,chromosome 12 open reading frame 65,HGNC:26784,12q24.31
C12orf66,Approved symbol,C12orf66,chromosome 12 open reading frame 66,HGNC:26517,12q14.2
C12orf68,Previous symbol,CCDC184,coiled-coil domain containing 184,HGNC:33749,12q13.11
C12orf69,Previous symbol,SMCO3,single-pass membrane protein with coiled-coil domains 3,HGNC:34401,12p12.3
C12orf70,Previous symbol,SMCO2,single-pass membrane protein with coiled-coil domains 2,HGNC:34448,12p11.23
C12orf71,Approved symbol,C12orf71,chromosome 12 open reading frame 71,HGNC:34452,12p11.23
C12orf72,Previous symbol,ETFBKMT,electron transfer flavoprotein subunit beta lysine methyltransferase,HGNC:28739,12p11.21
C12orf73,Approved symbol,C12orf73,chromosome 12 open reading frame 73,HGNC:34450,12q23.3
C12orf74,Approved symbol,C12orf74,chromosome 12 open reading frame 74,HGNC:27887,12q22
C12orf75,Approved symbol,C12orf75,chromosome 12 open reading frame 75,HGNC:35164,12q23.3
C12orf76,Approved symbol,C12orf76,chromosome 12 open reading frame 76,HGNC:33790,12q24.11
C12orf77,Approved symbol,C12orf77,chromosome 12 open reading frame 77,HGNC:27282,12p12.1
C13orf15,Previous symbol,RGCC,regulator of cell cycle,HGNC:20369,13q14.11
C13orf16,Previous symbol,TEX29,testis expressed 29,HGNC:20370,13q34
C13orf18,Previous symbol,RUBCNL,rubicon like autophagy regulator,HGNC:20420,13q14.13
C13orf1,Previous symbol,SPRYD7,SPRY domain containing 7,HGNC:14297,13q14.2
C13orf23,Previous symbol,PROSER1,proline and serine rich 1,HGNC:20291,13q13.3
C13orf26,Previous symbol,TEX26,testis expressed 26,HGNC:28622,13q12.3
C13orf27,Previous symbol,TEX30,testis expressed 30,HGNC:25188,13q33.1
C13orf28,Previous symbol,SPACA7,sperm acrosome associated 7,HGNC:29575,13q34
C13orf29,Previous symbol,LINC00346,long intergenic non-protein coding RNA 346,HGNC:27492,13q34
C13orf30,Previous symbol,FAM216B,family with sequence similarity 216 member B,HGNC:26883,13q14.11
C13orf31,Previous symbol,LACC1,laccase domain containing 1,HGNC:26789,13q14.11
C13orf33,Previous symbol,MEDAG,mesenteric estrogen dependent adipogenesis,HGNC:25926,13q12.3
C13orf34,Previous symbol,BORA,"bora, aurora kinase A activator",HGNC:24724,13q21.33
C13orf35,Previous symbol,ATP11AUN,ATP11A upstream neighbor,HGNC:33793,13q34
C13orf36,Previous symbol,SERTM1,serine rich and transmembrane domain containing 1,HGNC:33792,13q13.3
C13orf37,Previous symbol,MZT1,mitotic spindle organizing protein 1,HGNC:33830,13q21.33
C13orf38,Previous symbol,CCDC169,coiled-coil domain containing 169,HGNC:34361,13q13.3
C13orf39,Previous symbol,METTL21C,methyltransferase like 21C,HGNC:33717,13q33.1
C14orf101,Previous symbol,TMEM260,transmembrane protein 260,HGNC:20185,14q22.3
C14orf102,Previous symbol,NRDE2,"NRDE-2, necessary for RNA interference, domain containing",HGNC:20186,14q32.11
C14orf104,Previous symbol,DNAAF2,dynein axonemal assembly factor 2,HGNC:20188,14q21.3
C14orf105,Previous symbol,CCDC198,coiled-coil domain containing 198,HGNC:20189,14q22.3
C14orf106,Previous symbol,MIS18BP1,MIS18 binding protein 1,HGNC:20190,14q21.2
C14orf109,Previous symbol,TMEM251,transmembrane protein 251,HGNC:20218,14q32.12
C14orf115,Previous symbol,VRTN,vertebrae development associated,HGNC:20223,14q24.3
C14orf118,Previous symbol,GPATCH2L,G-patch domain containing 2 like,HGNC:20210,14q24.3
C14orf119,Approved symbol,C14orf119,chromosome 14 open reading frame 119,HGNC:20270,14q11.2
C14orf126,Previous symbol,DTD2,D-tyrosyl-tRNA deacylase 2 (putative),HGNC:20277,14q12
C14orf128,Previous symbol,ARHGAP5-AS1,ARHGAP5 antisense RNA 1 (head to head),HGNC:20279,14q12
C14orf129,Previous symbol,GSKIP,GSK3B interacting protein,HGNC:20343,14q32.2
C14orf132,Approved symbol,C14orf132,chromosome 14 open reading frame 132,HGNC:20346,14q32.2
C14orf135,Previous symbol,PCNX4,pecanex 4,HGNC:20349,14q23.1
C14orf138,Previous symbol,VCPKMT,valosin containing protein lysine methyltransferase,HGNC:20352,14q21.3
C14orf139,Previous symbol,SYNE3,spectrin repeat containing nuclear envelope family member 3,HGNC:19861,14q32.13
C14orf142,Previous symbol,GON7,"GON7, KEOPS complex subunit",HGNC:20356,14q32.12
C14orf143,Previous symbol,EFCAB11,EF-hand calcium binding domain 11,HGNC:20357,14q32.11
C14orf145,Previous symbol,CEP128,centrosomal protein 128,HGNC:20359,14q31.1
C14orf147,Previous symbol,SPTSSA,serine palmitoyltransferase small subunit A,HGNC:20361,14q13.1
C14orf148,Previous symbol,NOXRED1,NADP dependent oxidoreductase domain containing 1,HGNC:20487,14q24.3
C14orf149,Previous symbol,L3HYPDH,trans-L-3-hydroxyproline dehydratase,HGNC:20488,14q23.1
C14orf153,Previous symbol,APOPT1,"apoptogenic 1, mitochondrial",HGNC:20492,14q32.33
C14orf156,Previous symbol,SLIRP,SRA stem-loop interacting RNA binding protein,HGNC:20495,14q24.3
C14orf159,Previous symbol,DGLUCY,D-glutamate cyclase,HGNC:20498,14q32.11
C14orf162,Previous symbol,CCDC177,coiled-coil domain containing 177,HGNC:23243,14q24.1
C14orf165,Previous symbol,LINC00596,long intergenic non-protein coding RNA 596,HGNC:23167,14q11.2
C14orf166B,Previous symbol,LRRC74A,leucine rich repeat containing 74A,HGNC:23346,14q24.3
C14orf166,Previous symbol,RTRAF,"RNA transcription, translation and transport factor",HGNC:23169,14q22.1
C14orf167,Previous symbol,DHRS4-AS1,DHRS4 antisense RNA 1,HGNC:23175,14q11.2
C14orf169,Previous symbol,RIOX1,ribosomal oxygenase 1,HGNC:20968,14q24.3
C14orf174,Previous symbol,SAMD15,sterile alpha motif domain containing 15,HGNC:18631,14q24.3
C14orf176,Previous symbol,TMEM253,transmembrane protein 253,HGNC:32545,14q11.2
C14orf177,Approved symbol,C14orf177,chromosome 14 open reading frame 177,HGNC:26375,14q32.2
C14orf178,Approved symbol,C14orf178,chromosome 14 open reading frame 178,HGNC:26385,14q24.3
C14orf179,Previous symbol,IFT43,intraflagellar transport 43,HGNC:29669,14q24.3
C14orf180,Approved symbol,C14orf180,chromosome 14 open reading frame 180,HGNC:33795,14q32.33
C14orf181,Entry withdrawn,C14orf181~withdrawn,,HGNC:33794,
C14orf182,Previous symbol,LINC01588,long intergenic non-protein coding RNA 1588,HGNC:27503,14q21.3
C14orf183,Previous symbol,LINC01599,long intergenic non-protein coding RNA 1599,HGNC:27285,14q21.3
C14orf184,Entry withdrawn,C14orf184~withdrawn,,HGNC:37224,
C14orf19,Previous symbol,IGBP1P1,immunoglobulin (CD79A) binding protein 1 pseudogene 1,HGNC:19709,14q13.2
C14orf1,Previous symbol,ERG28,ergosterol biosynthesis 28 homolog,HGNC:1187,14q24.3
